#ID,r,theta,phi
TC,1734.727141,-0.302142,1.864278
TC,1776.308389,-0.358578,1.857387
TC,1800.561914,-0.386420,1.833034
TC,1823.824657,-0.395211,1.811447
TC,1844.701010,-0.397401,1.794096
TC,1869.264946,-0.394713,1.772809
TC,1894.776997,-0.384627,1.751588
TC,1926.308808,-0.367458,1.734677
TC,1963.449290,-0.345008,1.724972
TC,2007.384561,-0.324188,1.724316
TC,1980.049015,-0.305957,1.727642
TC,1929.519776,-0.282857,1.742835
TC,1890.467051,-0.266803,1.768215
TC,1850.290969,-0.262899,1.798827
TC,1799.652047,-0.270051,1.828680
TC,1737.475222,-0.303148,1.864733
TCOUT,1712.586645,-0.242928,1.716915
TCOUT,1765.447903,-0.225788,1.754695
TCOUT,1808.425654,-0.224903,1.790227
TCOUT,1788.591766,-0.300710,1.688040
TCOUT,1826.090682,-0.340998,1.686952
TCOUT,1862.040186,-0.369163,1.697296
TCOUT,1848.875996,-0.401831,1.720153
TCOUT,1791.380598,-0.418839,1.734870
TCOUT,1757.022820,-0.433157,1.756931
TCOUT,1738.179433,-0.424187,1.852441
